CITY_NAME,STATE_CODE,STATE_NAME,FIPS,COUNTY_NAME
Rogersville,AL,Alabama,1077,Lauderdale County
Killen,AL,Alabama,1077,Lauderdale County
Florence,AL,Alabama,1077,Lauderdale County
Wren,AL,Alabama,1079,Lawrence County
Landersville,AL,Alabama,1079,Lawrence County
Courtland,AL,Alabama,1079,Lawrence County
Town Creek,AL,Alabama,1079,Lawrence County
Hatton,AL,Alabama,1079,Lawrence County
North Courtland,AL,Alabama,1079,Lawrence County
Moulton,AL,Alabama,1079,Lawrence County
Hillsboro,AL,Alabama,1079,Lawrence County
Opelika,AL,Alabama,1081,Lee County
Loachapoka,AL,Alabama,1081,Lee County
Bleecker,AL,Alabama,1081,Lee County
Auburn,AL,Alabama,1081,Lee County
Salem,AL,Alabama,1081,Lee County
Smiths Station,AL,Alabama,1081,Lee County
Tanner,AL,Alabama,1083,Limestone County
Lester,AL,Alabama,1083,Limestone County
Thach,AL,Alabama,1083,Limestone County
Elkmont,AL,Alabama,1083,Limestone County
Athens,AL,Alabama,1083,Limestone County
Mooresville,AL,Alabama,1083,Limestone County
Ardmore,AL,Alabama,1083,Limestone County
Calhoun,AL,Alabama,1085,Lowndes County
Lowndesboro,AL,Alabama,1085,Lowndes County
Letohatchee,AL,Alabama,1085,Lowndes County
Gordonville,AL,Alabama,1085,Lowndes County
Hayneville,AL,Alabama,1085,Lowndes County
Benton,AL,Alabama,1085,Lowndes County
Mosses,AL,Alabama,1085,Lowndes County
Fort Deposit,AL,Alabama,1085,Lowndes County
White Hall,AL,Alabama,1085,Lowndes County
Manack,AL,Alabama,1085,Lowndes County
Fort Davis,AL,Alabama,1087,Macon County
Hardaway,AL,Alabama,1087,Macon County
Notasulga,AL,Alabama,1087,Macon County
Shorter,AL,Alabama,1087,Macon County
Tuskegee,AL,Alabama,1087,Macon County
Milstead,AL,Alabama,1087,Macon County
Franklin,AL,Alabama,1087,Macon County
Society Hill,AL,Alabama,1087,Macon County
Triana,AL,Alabama,1089,Madison County
Plevna,AL,Alabama,1089,Madison County
New Market,AL,Alabama,1089,Madison County
Owens Cross Roads,AL,Alabama,1089,Madison County
Moores Mill,AL,Alabama,1089,Madison County
Normal,AL,Alabama,1089,Madison County
Chase,AL,Alabama,1089,Madison County
Gurley,AL,Alabama,1089,Madison County
New Hope,AL,Alabama,1089,Madison County
Huntsville,AL,Alabama,1089,Madison County
Harvest,AL,Alabama,1089,Madison County
Madison,AL,Alabama,1089,Madison County
Meridianville,AL,Alabama,1089,Madison County
Hazel Green,AL,Alabama,1089,Madison County
Providence,AL,Alabama,1091,Marengo County
Putnam,AL,Alabama,1091,Marengo County
Myrtlewood,AL,Alabama,1091,Marengo County
Faunsdale,AL,Alabama,1091,Marengo County
Dixons Mills,AL,Alabama,1091,Marengo County
Linden,AL,Alabama,1091,Marengo County
Demopolis,AL,Alabama,1091,Marengo County
Miller,AL,Alabama,1091,Marengo County
Sweet Water,AL,Alabama,1091,Marengo County
Dayton,AL,Alabama,1091,Marengo County
Nanafalia,AL,Alabama,1091,Marengo County
Thomaston,AL,Alabama,1091,Marengo County
Guin,AL,Alabama,1093,Marion County
Hamilton,AL,Alabama,1093,Marion County
Brilliant,AL,Alabama,1093,Marion County
Bear Creek,AL,Alabama,1093,Marion County
Winfield,AL,Alabama,1093,Marion County
Gu-Win,AL,Alabama,1093,Marion County
Weston,AL,Alabama,1093,Marion County
Hackleburg,AL,Alabama,1093,Marion County
Glen Allen,AL,Alabama,1093,Marion County
Bexar,AL,Alabama,1093,Marion County
Twin,AL,Alabama,1093,Marion County
Douglas,AL,Alabama,1095,Marshall County
Arab,AL,Alabama,1095,Marshall County
Union Grove,AL,Alabama,1095,Marshall County
Grant,AL,Alabama,1095,Marshall County
Guntersville,AL,Alabama,1095,Marshall County
Albertville,AL,Alabama,1095,Marshall County
Boaz,AL,Alabama,1095,Marshall County
Wilmer,AL,Alabama,1097,Mobile County
Dauphin Island,AL,Alabama,1097,Mobile County
Tillmans Corner,AL,Alabama,1097,Mobile County
Movico,AL,Alabama,1097,Mobile County
Gulfcrest,AL,Alabama,1097,Mobile County
Mobile,AL,Alabama,1097,Mobile County
Satsuma,AL,Alabama,1097,Mobile County
Creola,AL,Alabama,1097,Mobile County
Grand Bay,AL,Alabama,1097,Mobile County
Bellefontaine,AL,Alabama,1097,Mobile County
Calvert,AL,Alabama,1097,Mobile County
Heron Bay,AL,Alabama,1097,Mobile County
Saraland,AL,Alabama,1097,Mobile County
Theodore,AL,Alabama,1097,Mobile County
Chickasaw,AL,Alabama,1097,Mobile County
Semmes,AL,Alabama,1097,Mobile County
Chunchula,AL,Alabama,1097,Mobile County
Bayou La Batre,AL,Alabama,1097,Mobile County
